dt,date,pressure,wind_speed,wind_gust
1704970800,2024-01-11 11:00:00+00:00,1012.6,6.888396,8.8
1704974400,2024-01-11 12:00:00+00:00,1012.6,6.293648,8.9
1704978000,2024-01-11 13:00:00+00:00,1012.1,6.2641835,8.7
1704981600,2024-01-11 14:00:00+00:00,1011.9,6.1684685,8.1
1704985200,2024-01-11 15:00:00+00:00,1011.4,6.640783,8.6
1704988800,2024-01-11 16:00:00+00:00,1011.0,6.203225,8.6
1704992400,2024-01-11 17:00:00+00:00,1010.7,5.597321,8.1
1704996000,2024-01-11 18:00:00+00:00,1010.6,5.5785303,7.4
1704999600,2024-01-11 19:00:00+00:00,1010.6,5.510899,7.3
1705003200,2024-01-11 20:00:00+00:00,1011.0,5.5326304,7.2
1705006800,2024-01-11 21:00:00+00:00,1011.6,5.6035705,7.3
1705010400,2024-01-11 22:00:00+00:00,1012.4,5.60803,7.3
1705014000,2024-01-11 23:00:00+00:00,1012.8,6.000833,7.8
1705017600,2024-01-12 00:00:00+00:00,1012.5,6.129437,8.0
1705021200,2024-01-12 01:00:00+00:00,1011.5,4.9648767,6.4
1705024800,2024-01-12 02:00:00+00:00,1010.6,5.135173,6.8
1705028400,2024-01-12 03:00:00+00:00,1009.9,5.115662,6.7
1705032000,2024-01-12 04:00:00+00:00,1009.2,5.178803,6.8
1705035600,2024-01-12 05:00:00+00:00,1009.3,5.048763,6.8
1705039200,2024-01-12 06:00:00+00:00,1009.6,5.4744864,7.0
1705042800,2024-01-12 07:00:00+00:00,1009.9,5.8240876,7.5
1705046400,2024-01-12 08:00:00+00:00,1010.5,5.7280016,7.6
1705050000,2024-01-12 09:00:00+00:00,1010.8,5.9908266,7.7
1705053600,2024-01-12 10:00:00+00:00,1011.4,6.0207973,7.9000006
1705057200,2024-01-12 11:00:00+00:00,1011.6,5.9539905,7.8
1705060800,2024-01-12 12:00:00+00:00,1011.8,5.7870545,7.7
1705064400,2024-01-12 13:00:00+00:00,1011.8,5.4424257,7.0
1705068000,2024-01-12 14:00:00+00:00,1011.8,5.4626,7.1
1705071600,2024-01-12 15:00:00+00:00,1011.8,5.9236813,7.6
1705075200,2024-01-12 16:00:00+00:00,1011.5,6.1684685,8.0
1705078800,2024-01-12 17:00:00+00:00,1011.1,6.203225,8.2
1705082400,2024-01-12 18:00:00+00:00,1010.7,6.276942,8.2
1705086000,2024-01-12 19:00:00+00:00,1010.6,6.574192,8.5
1705089600,2024-01-12 20:00:00+00:00,1011.1,6.407808,8.5
1705093200,2024-01-12 21:00:00+00:00,1011.6,6.741662,8.7
1705096800,2024-01-12 22:00:00+00:00,1012.4,7.0213957,9.1
1705100400,2024-01-12 23:00:00+00:00,1012.9,6.992138,9.1
1705104000,2024-01-13 00:00:00+00:00,1012.8,6.6910386,9.0
1705107600,2024-01-13 01:00:00+00:00,1012.4,7.05762,9.2
1705111200,2024-01-13 02:00:00+00:00,1011.6,7.244308,9.3
1705114800,2024-01-13 03:00:00+00:00,1010.7,7.2993145,9.4
1705118400,2024-01-13 04:00:00+00:00,1009.9,7.3824115,9.6
1705122000,2024-01-13 05:00:00+00:00,1009.8,6.987131,9.6
1705125600,2024-01-13 06:00:00+00:00,1009.9,7.203471,9.4
1705129200,2024-01-13 07:00:00+00:00,1010.3,6.7911706,9.3
1705132800,2024-01-13 08:00:00+00:00,1011.0,6.3788714,8.8
1705136400,2024-01-13 09:00:00+00:00,1011.6,5.821512,8.2
1705140000,2024-01-13 10:00:00+00:00,1012.4,6.239391,8.0
1705143600,2024-01-13 11:00:00+00:00,1012.8,6.3788714,8.4
1705147200,2024-01-13 12:00:00+00:00,1013.2,6.1522346,8.3
1705150800,2024-01-13 13:00:00+00:00,1013.0,6.334824,8.3
1705154400,2024-01-13 14:00:00+00:00,1012.9,6.0728908,8.3
1705158000,2024-01-13 15:00:00+00:00,1012.7,5.536244,7.9000006
1705161600,2024-01-13 16:00:00+00:00,1012.1,5.3310413,7.2
1705165200,2024-01-13 17:00:00+00:00,1011.5,5.5009093,7.3
1705168800,2024-01-13 18:00:00+00:00,1011.4,5.5009093,7.3
1705172400,2024-01-13 19:00:00+00:00,1011.6,5.3712196,7.3
1705176000,2024-01-13 20:00:00+00:00,1012.1,5.360038,7.1
1705179600,2024-01-13 21:00:00+00:00,1012.7,5.2630787,7.1
1705183200,2024-01-13 22:00:00+00:00,1013.3,5.3814497,7.0
1705186800,2024-01-13 23:00:00+00:00,1013.8,5.597321,7.3
